1,1,13116,12685582,2,1,2,1
2,1,12686678,13791862,2,1,3,1
3,1,13792866,53502301,2,1,2,1
4,1,53503428,53512020,2,1,2,0
5,1,53513168,120618076,2,1,2,1
6,1,120619242,121200490,2,1,3,1
7,1,121202617,121360949,2,1,2,1
8,1,121362143,121484236,2,1,3,1
9,1,142535439,142565449,2,1,4,2
10,1,142566797,144621942,2,1,2,1
11,1,144674926,144850557,2,1,4,2
12,1,144852235,148356550,2,1,2,1
13,1,148512592,148575566,2,1,4,2
14,1,148578657,148627713,2,1,2,0
15,1,148631073,148644408,2,1,2,1
16,1,148657453,148660816,2,1,3,0
17,1,148741518,205867013,2,1,2,1
18,1,205870142,206152887,2,1,3,1
19,1,206156604,206249559,2,1,2,1
20,1,206250836,206313921,2,1,3,1
21,1,206315933,206515372,2,1,4,0
22,1,206516994,248839669,2,1,2,1
23,1,248840690,249239902,2,1,3,1
24,2,10587,4941879,2,1,2,1
25,2,4943009,5162141,2,1,3,1
26,2,5163664,26065473,2,1,2,1
27,2,26066569,26234760,2,1,3,1
28,2,26235800,89585517,2,1,2,1
29,2,89588674,89883532,2,1,4,2
30,2,89884606,239564713,2,1,2,1
31,2,239565780,239574950,2,1,1,0
32,2,239575978,243187487,2,1,2,1
33,3,60197,170798,2,1,3,0
34,3,171948,66065824,2,1,2,1
35,3,66066999,66317314,2,1,3,1
36,3,66318317,72907464,2,1,2,1
37,3,72908754,73038461,2,1,3,1
38,3,73039546,90452917,2,1,2,1
39,3,90454802,93553673,2,1,4,2
40,3,93555119,197908615,2,1,2,1
41,4,11961,39372098,2,1,2,1
42,4,39375329,39734865,2,1,3,1
43,4,39736281,49093197,2,1,2,1
44,4,49094204,49146751,2,1,4,1
45,4,49148014,52714050,2,1,3,1
46,4,52715206,59685110,2,1,2,1
47,4,59686485,59860652,2,1,3,1
48,4,59861790,191043877,2,1,2,1
49,5,11882,660491,2,1,2,1
50,5,661856,716754,2,1,1,0
51,5,718021,46315390,2,1,2,1
52,5,46316410,49529431,2,1,3,1
53,5,49530633,91582159,2,1,2,1
54,5,91583331,91703383,2,1,3,1
55,5,91706469,180790901,2,1,2,1
56,6,100116,58721863,2,1,2,1
57,6,58723068,61930291,2,1,4,2
58,6,61931353,95627650,2,1,2,1
59,6,95629721,95658081,2,1,3,0
60,6,95659353,95672957,2,1,4,2
61,6,95674117,96003164,2,1,2,1
62,6,96004823,96015371,2,1,1,0
63,6,96016508,115388612,2,1,2,1
64,6,115390040,115396996,2,1,1,0
65,6,115398064,157546376,2,1,2,1
66,6,157547409,157735566,2,1,3,1
67,6,157738258,171049557,2,1,2,1
68,7,24220,38293546,2,1,2,1
69,7,38294670,38328239,2,1,15,5
70,7,38329397,38332217,2,1,35,0
71,7,38334029,38355566,2,1,16,6
72,7,38356849,38376481,2,1,7,0
73,7,38377839,38400984,2,1,3,1
74,7,38402008,57934758,2,1,2,1
75,7,57935845,57963936,2,1,3,0
76,7,57965304,62027982,2,1,3,1
